Sentences	Label
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended	anger
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao	anger
Lol Adam the Bull with his fake outrage...	anger
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff	anger
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!	anger
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 	anger
And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you	anger
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!	anger
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.	anger
Follow up. Follow through. Be #relentless. #success	anger
@JustinRow10 dude the new madden 17? Haha	anger
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser	anger
Lol little things like that make me so angry x	anger
One more day tiff.. One more day!	anger
Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..	anger
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview	anger
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed	anger
@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror	anger
I swear I got anger issues but my heart big AF...	anger
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.	anger
This is a joke @SomersetCCC #fuming	anger
I just love it when people make plans for me without actually including me in this process #rage	anger
Be quick to #listen, slow to #speak, and slow to .	anger
@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.	anger
@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter	anger
@OstinOng YUUUHH 🙄😭 plus clin ep and prevmed ugghhh hahaha #bitter	anger
my wasp sting is so itchy	anger
Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! 	anger
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?	anger
@Arsenal Giroud's beard is making me angry.	anger
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW	anger
@jaybusbee Well, not Archie. No offense but he's kinda old.	anger
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph	anger
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting	anger
ICQ is just making me mad!!!😤 #icq #angry	anger
If angry, bash out your frustration on the pastry #GBBO	anger
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming	anger
Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD	anger
@talkRobyn oh dear I have to watch this the woman with the pout did well	anger
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.	anger
@Dak2future decorations are up all over Jersey already #outrage	anger
We're going to get City in the next round for a revenge.	anger
@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol	anger
No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂	anger
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife	anger
Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry	anger
Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.	anger
I genuinely think I have anger issues	anger
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal	anger
@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.	anger
In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.	anger
Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury	anger
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging	anger
All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein	anger
So Rangers v Celtic ll #revenge	anger
#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.	anger
@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! 	anger
@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils	anger
