Sentences	Label
@RockSolidShow @Pat_Francis #revolting cocks if you think I'm sexy!	fear
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid	fear
“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious	fear
@carlybigelow13 first you take the room now you wanna beat me up 	fear
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous	fear
@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.	fear
3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯	fear
@WunderlistHelp are you guys still down? When can we go up? 	fear
@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully	fear
@Jchawes What is your favorite #horror movie? #ghosthunters	fear
Not sure if thats an accomplishment or something to worry about	fear
@CharlieEblacker hate being shy 😩	fear
#smackdev #ptp #start oh yeah!	fear
@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.	fear
@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. 	fear
I'm shaking now.	fear
And they cover these police shootings fairly well they dont want to miss a chance to bully you	fear
“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.”	fear
@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference)	fear
That old lady is cray cray #scared #BellaIsSoCute  #Empire	fear
Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. 	fear
@YahooCare data stolen in 2014 and only now do you tell us .	fear
@RyanAbe awe yay thank god I was so worried.	fear
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. 	fear
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?	fear
Late night #thoughts. Feeling .	fear
The terror threat level really need to be raised	fear
You have a #problem? Yes! Can you do #something about it? No! Than why 	fear
