Sentences	Label
@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.	joy
2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! 	joy
Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.	joy
As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.	joy
Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO	joy
@StephaliciousD afternoon delight	joy
@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in	joy
As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.	joy
@hesham786 that's the spirit #optimism	joy
@simmy_hanley @Schrise also a 	joy
@scottlocker220 Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet	joy
@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? #optimism	joy
when u havent learned to swim 🤔 but you keep working out so you're denser and less buoyant 😞 but swimming is scary 🤔 but also u cant swim 😞	joy
Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour	joy
Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting	joy
mirana told me to shut up when i was singing along to glee...	joy
#happiness #recipe: an open mind, #laughter, a kind #heart &amp; 	joy
🔥💁🏼- its lit having a class with you!!! Your such a great person and good at cheer!!	joy
Watch this amazing live.ly broadcast by @jaredhorgan  #musically	joy
@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.	joy
Function in regard to camshaft exhilaration companies: CQHshJSI	joy
@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.	joy
Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat	joy
@Myahrissavietta I'm cheery now 😘😉	joy
@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? 	joy
I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper  #letsdance #dirtydancinginthemoonlight👌	joy
@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me  #itsagunalright	joy
@alicereidy more of a hearty Italian man myself	joy
The little sniffle at the end of the song gets me every time. 	joy
it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep.	joy
@LBC_Charlotte just watched you on the great wall #hilarious 😆	joy
@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 #hilarious	joy
Watch this amazing live.ly broadcast by @maisiev  #musically	joy
I love my family so much #lucky #grateful #smartassfamily  #love	joy
